Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2006.0,Mehmet Okur,PF,26.0,UTA,82.0,82.0,2945.0,19.0,0.5539999999999999,0.207,0.402,8.6,22.2,15.4,12.8,0.7,2.1,10.9,23.5,6.3,3.0,9.3,0.152,2.3,-0.3,2.1,3.0,519.0,1128.0,0.46,80.0,234.0,0.342,439.0,894.0,0.491,0.496,354.0,454.0,0.78,211.0,535.0,746.0,194.0,40.0,73.0,163.0,285.0,1472.0,10,1
2006.0,Kevin Ollie,SG,33.0,PHI,70.0,23.0,1069.0,7.8,0.491,0.017,0.282,1.4,9.3,5.4,13.8,1.6,0.2,12.9,9.6,0.5,0.5,1.1,0.048,-3.4,-0.9,-4.3,-0.6,75.0,174.0,0.431,1.0,3.0,0.333,74.0,171.0,0.433,0.434,41.0,49.0,0.8370000000000001,13.0,85.0,98.0,101.0,33.0,3.0,29.0,103.0,192.0,1,4
2006.0,Michael Olowokandi,C,30.0,TOT,48.0,24.0,919.0,8.3,0.456,0.0,0.196,6.7,21.7,14.4,4.1,1.3,2.7,17.4,16.2,-1.1,1.4,0.3,0.014,-6.0,0.8,-5.2,-0.7,107.0,240.0,0.446,0.0,0.0,0.0,107.0,240.0,0.446,0.446,24.0,47.0,0.511,50.0,170.0,220.0,23.0,22.0,33.0,55.0,122.0,238.0,1,4
2006.0,Greg Ostertag,C,32.0,UTA,60.0,22.0,807.0,11.6,0.503,0.0,0.387,12.2,21.7,16.9,11.7,0.4,6.8,24.1,11.0,0.2,1.1,1.3,0.076,-3.2,3.5,0.3,0.5,61.0,124.0,0.4920000000000001,0.0,0.0,0.0,61.0,124.0,0.4920000000000001,0.4920000000000001,24.0,48.0,0.5,82.0,143.0,225.0,58.0,6.0,66.0,46.0,129.0,146.0,2,3
2006.0,Bo Outlaw,PF,34.0,ORL,32.0,0.0,355.0,11.8,0.61,0.0,0.138,11.1,15.6,13.4,6.2,1.5,2.7,21.7,10.5,0.4,0.4,0.7,0.101,-1.1,1.4,0.4,0.2,35.0,58.0,0.603,0.0,0.0,0.0,35.0,58.0,0.603,0.603,5.0,8.0,0.625,31.0,46.0,77.0,14.0,10.0,12.0,17.0,50.0,75.0,2,3
2006.0,Travis Outlaw,PF,21.0,POR,69.0,11.0,1153.0,12.9,0.491,0.14400000000000002,0.242,4.9,14.9,9.9,5.2,1.5,3.0,8.3,18.3,0.4,0.5,0.9,0.039,-2.6,-0.9,-3.5,-0.4,162.0,368.0,0.44,14.0,53.0,0.264,148.0,315.0,0.47,0.459,62.0,89.0,0.6970000000000001,48.0,141.0,189.0,34.0,31.0,46.0,37.0,112.0,400.0,1,4
2006.0,Andre Owens,PG,25.0,UTA,23.0,2.0,210.0,5.2,0.421,0.21600000000000005,0.243,6.3,5.8,6.1,6.8,1.3,0.0,13.7,20.9,-0.3,0.1,-0.2,-0.047,-4.8,-3.6,-8.4,-0.3,27.0,74.0,0.365,3.0,16.0,0.188,24.0,58.0,0.414,0.385,12.0,18.0,0.667,11.0,10.0,21.0,8.0,5.0,0.0,13.0,25.0,69.0,1,4
2006.0,Zaza Pachulia,C,21.0,ATL,78.0,78.0,2452.0,15.0,0.53,0.003,0.593,12.6,17.6,15.0,8.5,1.9,1.2,17.3,19.2,2.5,1.4,3.9,0.077,-0.6,-0.3,-0.9,0.7,307.0,681.0,0.451,0.0,2.0,0.0,307.0,679.0,0.452,0.451,297.0,404.0,0.735,264.0,349.0,613.0,129.0,89.0,39.0,180.0,286.0,911.0,10,1
2006.0,Scott Padgett,PF,29.0,NJN,62.0,1.0,718.0,12.5,0.489,0.602,0.16899999999999998,9.0,18.1,13.5,9.5,2.1,1.4,8.9,15.5,0.6,1.3,1.8,0.123,-0.7,1.1,0.4,0.4,71.0,201.0,0.353,42.0,121.0,0.34700000000000003,29.0,80.0,0.363,0.458,27.0,34.0,0.794,56.0,109.0,165.0,41.0,28.0,12.0,21.0,90.0,211.0,1,4
2006.0,Milt Palacio,PG,27.0,UTA,71.0,18.0,1376.0,9.9,0.47,0.04,0.3720000000000001,1.5,10.4,5.9,24.4,1.9,0.8,19.0,19.5,-0.9,1.1,0.2,0.008,-3.7,-1.3,-5.1,-1.1,171.0,403.0,0.424,1.0,16.0,0.063,170.0,387.0,0.439,0.426,98.0,150.0,0.653,17.0,117.0,134.0,190.0,47.0,14.0,110.0,125.0,441.0,50,0
2006.0,Jannero Pargo,PG,26.0,CHI,57.0,0.0,646.0,9.9,0.455,0.353,0.07200000000000001,1.4,9.4,5.4,24.8,1.9,0.2,16.8,25.3,-0.9,0.8,-0.1,-0.008,-2.8,-1.4,-4.2,-0.4,109.0,292.0,0.373,39.0,103.0,0.379,70.0,189.0,0.37,0.44,17.0,21.0,0.81,8.0,53.0,61.0,94.0,24.0,2.0,61.0,57.0,274.0,1,4
2006.0,Smush Parker,PG,24.0,LAL,82.0,82.0,2773.0,13.4,0.5479999999999999,0.421,0.231,1.6,9.9,5.7,17.3,2.7,0.4,14.6,16.5,2.8,3.0,5.8,0.1,0.7,0.2,1.0,2.1,348.0,779.0,0.447,120.0,328.0,0.366,228.0,451.0,0.506,0.524,125.0,180.0,0.6940000000000001,37.0,234.0,271.0,302.0,140.0,16.0,147.0,213.0,941.0,3,2
2006.0,Tony Parker,PG,23.0,SAS,80.0,80.0,2715.0,20.8,0.584,0.032,0.315,1.7,9.5,5.7,32.2,1.7,0.1,16.1,27.1,5.5,4.1,9.6,0.16899999999999998,2.6,0.0,2.6,3.1,623.0,1136.0,0.5479999999999999,11.0,36.0,0.306,612.0,1100.0,0.556,0.5529999999999999,253.0,358.0,0.7070000000000001,38.0,223.0,261.0,460.0,83.0,4.0,249.0,161.0,1510.0,3,2
2006.0,Ruben Patterson,SF-SG,30.0,TOT,71.0,22.0,1792.0,16.4,0.547,0.02,0.532,7.8,8.4,8.1,12.7,2.3,0.9,16.1,24.1,1.1,1.0,2.1,0.055,-0.1,-0.9,-1.0,0.4,327.0,635.0,0.515,1.0,13.0,0.077,326.0,622.0,0.524,0.516,203.0,338.0,0.601,118.0,126.0,244.0,127.0,76.0,21.0,150.0,150.0,858.0,23,0
2006.0,Chris Paul,PG,20.0,NOK,78.0,78.0,2808.0,22.1,0.546,0.187,0.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,6.8,3.6,10.4,0.17800000000000002,4.7,1.4,6.1,5.7,407.0,947.0,0.43,50.0,177.0,0.282,357.0,770.0,0.464,0.456,394.0,465.0,0.847,61.0,339.0,400.0,611.0,175.0,6.0,183.0,218.0,1258.0,3,2
2006.0,Sasha Pavlovic,SG,22.0,CLE,53.0,19.0,813.0,6.9,0.516,0.453,0.231,2.3,9.4,5.8,4.9,1.2,0.6,15.2,15.7,-0.1,0.6,0.5,0.03,-2.7,-1.3,-4.0,-0.4,87.0,212.0,0.41,35.0,96.0,0.365,52.0,116.0,0.448,0.493,32.0,49.0,0.653,16.0,64.0,80.0,25.0,19.0,6.0,42.0,103.0,241.0,1,4
