Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Group,Merged_Group
2001.0,Troy Hudson,PG,24.0,ORL,75.0,7.0,1008.0,10.2,0.4270000000000001,0.293,0.28,4.1,7.6,5.8,25.5,1.9,0.2,18.0,22.4,-0.7,0.8,0.1,0.003,-2.5,-2.4,-5.0,-0.8,125.0,372.0,0.336,22.0,109.0,0.202,103.0,263.0,0.392,0.366,85.0,104.0,0.8170000000000001,38.0,67.0,105.0,162.0,37.0,3.0,92.0,82.0,357.0,0,1
2001.0,Larry Hughes,SG,22.0,GSW,50.0,45.0,1846.0,13.9,0.449,0.093,0.313,4.0,12.5,7.9,21.0,2.7,1.1,14.2,24.4,-0.4,1.1,0.6,0.017,-0.9,0.0,-0.9,0.5,308.0,805.0,0.383,14.0,75.0,0.187,294.0,730.0,0.403,0.391,193.0,252.0,0.7659999999999999,76.0,200.0,276.0,223.0,96.0,29.0,152.0,147.0,823.0,32,0
2001.0,Lindsey Hunter,PG,30.0,MIL,82.0,5.0,2002.0,14.8,0.5,0.52,0.123,1.8,7.7,4.8,17.4,2.7,0.4,7.6,20.2,3.1,1.4,4.6,0.109,2.3,-1.8,0.5,1.3,298.0,783.0,0.381,152.0,407.0,0.373,146.0,376.0,0.388,0.478,77.0,96.0,0.802,32.0,137.0,169.0,222.0,102.0,12.0,68.0,172.0,825.0,26,0
2001.0,Zydrunas Ilgauskas,C,25.0,CLE,24.0,24.0,616.0,16.0,0.524,0.009000000000000001,0.333,12.3,17.8,15.0,5.4,1.3,4.4,18.3,24.1,0.1,0.7,0.7,0.056,-2.1,0.0,-2.1,0.0,114.0,234.0,0.487,0.0,2.0,0.0,114.0,232.0,0.491,0.487,53.0,78.0,0.679,65.0,95.0,160.0,18.0,15.0,37.0,60.0,78.0,281.0,8,7
2001.0,Allen Iverson*,SG,25.0,PHI,71.0,71.0,2979.0,24.0,0.518,0.16899999999999998,0.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,7.3,4.5,11.8,0.19,5.0,-0.1,4.8,5.1,762.0,1813.0,0.42,98.0,306.0,0.32,664.0,1507.0,0.441,0.447,585.0,719.0,0.8140000000000001,50.0,223.0,273.0,325.0,178.0,20.0,237.0,147.0,2207.0,1,3
2001.0,Bobby Jackson,PG,27.0,SAC,79.0,7.0,1648.0,13.1,0.501,0.198,0.16699999999999998,5.0,11.0,8.0,15.3,2.7,0.3,15.4,17.9,0.9,2.3,3.1,0.091,-0.8,0.8,0.0,0.8,231.0,526.0,0.439,39.0,104.0,0.375,192.0,422.0,0.455,0.476,65.0,88.0,0.7390000000000001,74.0,172.0,246.0,161.0,87.0,7.0,103.0,139.0,566.0,33,0
2001.0,Jaren Jackson,SG,33.0,SAS,16.0,0.0,114.0,10.4,0.477,0.45,0.05,1.0,10.4,6.0,10.5,2.4,0.0,6.8,18.1,0.0,0.2,0.2,0.087,-0.7,-0.7,-1.3,0.0,16.0,40.0,0.4,7.0,18.0,0.389,9.0,22.0,0.409,0.488,0.0,2.0,0.0,1.0,11.0,12.0,7.0,5.0,0.0,3.0,13.0,39.0,34,0
2001.0,Jim Jackson,SF,30.0,TOT,56.0,40.0,1690.0,10.7,0.455,0.127,0.267,3.6,11.6,7.6,16.4,1.6,0.4,15.5,22.3,-0.8,1.0,0.1,0.003,-2.1,-0.9,-3.0,-0.4,239.0,632.0,0.378,26.0,80.0,0.325,213.0,552.0,0.386,0.399,139.0,169.0,0.8220000000000001,53.0,171.0,224.0,163.0,53.0,10.0,130.0,139.0,643.0,0,1
2001.0,Marc Jackson,C,26.0,GSW,48.0,35.0,1410.0,16.1,0.534,0.045,0.378,8.3,19.8,13.6,7.3,1.2,1.4,13.6,20.5,1.9,0.7,2.6,0.08900000000000001,-1.1,-1.2,-2.4,-0.1,237.0,508.0,0.467,5.0,23.0,0.217,232.0,485.0,0.478,0.471,154.0,192.0,0.802,119.0,242.0,361.0,59.0,34.0,27.0,93.0,138.0,633.0,35,0
2001.0,Mark Jackson,PG,35.0,TOT,83.0,82.0,2588.0,14.9,0.506,0.355,0.16,2.8,10.9,6.8,39.3,1.7,0.2,21.9,14.2,3.6,2.3,5.9,0.11,0.8,-1.2,-0.5,1.0,244.0,583.0,0.419,70.0,207.0,0.338,174.0,376.0,0.463,0.479,73.0,93.0,0.785,63.0,242.0,305.0,661.0,84.0,7.0,175.0,139.0,631.0,1,3
